fly position,center of mass,laser status
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,246.23,0
271.72,289.58,0
280.55,280.55,0
269.9,269.9,0
266.59,266.59,0
244.61,244.61,0
230.01,230.01,0
220.46,220.46,0
212.75,212.75,0
206.37,206.37,0
197.63,197.63,0
188.53,188.53,0
182.46,182.46,0
174.22,174.22,0
164.07,164.07,0
157.94,157.94,0
148.15,148.15,0
137.21,137.21,0
125.97,125.97,0
112.43,112.43,0
99.557,99.557,0
87.511,87.511,0
78.192,78.192,0
75.278,75.278,0
80.02,80.02,0
80.269,80.269,0
75.554,75.554,0
73.041,73.041,0
69.819,69.819,0
67.541,67.541,0
61.901,61.901,0
54.541,54.541,0
51.155,51.155,0
46.503,46.503,0
41.653,41.653,0
37.042,37.042,0
32.728,32.728,0
29.771,29.771,0
29.835,29.835,0
25.54,25.54,0
24.965,24.965,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,NaN,0
24.965,29.36,0
44.373,44.373,0
54.535,54.535,0
56.354,56.354,0
58.863,58.863,0
61.213,61.213,0
63.327,63.327,0
65.455,65.455,0
67.467,67.467,0
70.907,70.907,0
